source_id,target_id,source,target,weight
13,206,circuit graph,computation graph,0.6825517416000366
13,247,circuit graph,node embedding computation graph,0.6487307548522949
13,274,circuit graph,training graphs,0.6329122185707092
13,293,circuit graph,node computational graph,0.6439539194107056
13,310,circuit graph,input graph,0.6380434036254883
14,20,directed graph,weighted graph,0.6747968196868896
14,31,directed graph,complete graph,0.6055784225463867
14,32,directed graph,adjacency,0.6674312353134155
14,47,directed graph,star-like graphs,0.5821698904037476
14,60,directed graph,graph walks,0.614414632320404
14,280,directed graph,node ordering,0.6186751127243042
14,346,directed graph,node-sequence,0.6073853969573975
14,377,directed graph,directed acyclic graph,0.7009488344192505
15,16,hypergraph,hyperedge,0.8016111850738525
15,17,hypergraph,incidence matrix,0.6938962936401367
15,18,hypergraph,heterogeneous graph,0.697236180305481
15,19,hypergraph,high-order relationships,0.7807836532592773
15,22,hypergraph,relation type,0.6783270835876465
15,23,hypergraph,triplet,0.6405268907546997
15,67,hypergraph,graph neural network,0.7103854417800903
15,118,hypergraph,edge-based features,0.7085127830505371
15,140,hypergraph,graph feature representation,0.7363705635070801
15,141,hypergraph,graph feature embedding,0.7362608313560486
15,145,hypergraph,graph feature embedding method,0.7174221277236938
15,327,hypergraph,graph representation learning,0.7126001715660095
15,380,hypergraph,edge attributes,0.7302911281585693
16,17,hyperedge,incidence matrix,0.591499924659729
16,18,hyperedge,heterogeneous graph,0.6304149031639099
16,24,hyperedge,edge type,0.5947505235671997
16,26,hyperedge,annotated graph,0.5629249215126038
16,28,hyperedge,multiple edges,0.6128064393997192
16,118,hyperedge,edge-based features,0.5853325128555298
16,140,hyperedge,graph feature representation,0.5610628128051758
17,30,incidence matrix,embedding matrix,0.6874663829803467
17,50,incidence matrix,graph sparsity,0.6537671089172363
17,53,incidence matrix,eigenvalues,0.6520806550979614
17,118,incidence matrix,edge-based features,0.6987369060516357
17,140,incidence matrix,graph feature representation,0.6982904672622681
17,144,incidence matrix,graph feature representation method,0.7286801338195801
17,162,incidence matrix,graph feature generation,0.6932191252708435
17,309,incidence matrix,edge feature matrix,0.7195820808410645
18,21,heterogeneous graph,node type,0.7564700841903687
18,22,heterogeneous graph,relation type,0.7818773984909058
18,23,heterogeneous graph,triplet,0.6641014814376831
18,24,heterogeneous graph,edge type,0.7910119891166687
18,28,heterogeneous graph,multiple edges,0.6481425762176514
18,118,heterogeneous graph,edge-based features,0.6867184042930603
18,121,heterogeneous graph,graph-based features,0.6812866926193237
18,266,heterogeneous graph,bipartite graph,0.6607077121734619
18,309,heterogeneous graph,edge feature matrix,0.668103814125061
19,22,high-order relationships,relation type,0.6767023801803589
19,23,high-order relationships,triplet,0.5912686586380005
19,67,high-order relationships,graph neural network,0.7011902332305908
19,75,high-order relationships,representation learning,0.6909424066543579
19,119,high-order relationships,feature extraction,0.6892121434211731
19,140,high-order relationships,graph feature representation,0.701392650604248
19,153,high-order relationships,node regression,0.6884742975234985
19,169,high-order relationships,graph neural architecture,0.6944989562034607
19,315,high-order relationships,gnn aims,0.6972051858901978
19,327,high-order relationships,graph representation learning,0.6988657712936401
19,380,high-order relationships,edge attributes,0.6960777640342712
20,25,weighted graph,simple graph,0.5990474224090576
20,26,weighted graph,annotated graph,0.6573057174682617
20,36,weighted graph,spanning subgraph,0.5717074871063232
20,49,weighted graph,graph density,0.6879976987838745
20,68,weighted graph,fixed adjacency matrix,0.6591190099716187
20,69,weighted graph,learned weights,0.769733190536499
20,97,weighted graph,weights,0.646318793296814
20,118,weighted graph,edge-based features,0.6595214009284973
20,121,weighted graph,graph-based features,0.6905379295349121
20,168,weighted graph,matrix multiplication,0.6769917607307434
20,266,weighted graph,bipartite graph,0.6336355209350586
20,309,weighted graph,edge feature matrix,0.6676123142242432
20,367,weighted graph,node scores,0.6713414192199707
21,22,node type,relation type,0.8567078113555908
21,23,node type,triplet,0.6212709546089172
21,24,node type,edge type,0.8495683670043945
21,71,node type,node classification,0.7868902683258057
21,115,node type,node-based features,0.7565445899963379
21,121,node type,graph-based features,0.6980686187744141
21,131,node type,shallow node embedding,0.7133691310882568
21,134,node type,node labels,0.7464641332626343
21,140,node type,graph feature representation,0.7208558917045593
21,327,node type,graph representation learning,0.7170706987380981
22,23,relation type,triplet,0.7062955498695374
22,24,relation type,edge type,0.9062761068344116
22,71,relation type,node classification,0.6905202865600586
22,140,relation type,graph feature representation,0.6769028306007385
22,327,relation type,graph representation learning,0.6786185503005981
23,24,triplet,edge type,0.6868276596069336
23,140,triplet,graph feature representation,0.5924301147460938
23,380,triplet,edge attributes,0.6215678453445435
24,28,edge type,multiple edges,0.6125050783157349
24,71,edge type,node classification,0.7206192016601562
24,118,edge type,edge-based features,0.7900991439819336
24,121,edge type,graph-based features,0.7419763803482056
24,140,edge type,graph feature representation,0.7365096807479858
24,309,edge type,edge feature matrix,0.7472054958343506
24,380,edge type,edge attributes,0.7644367218017578
25,26,simple graph,annotated graph,0.6082082986831665
25,27,simple graph,loop,0.5944626927375793
25,31,simple graph,complete graph,0.6591180562973022
25,32,simple graph,adjacency,0.6058603525161743
25,35,simple graph,proper subgraph,0.5210573077201843
25,121,simple graph,graph-based features,0.6049543023109436
25,152,simple graph,graph clustering,0.6005280017852783
25,206,simple graph,computation graph,0.5974962711334229
